title	author
Memories of Midnight	Sidney Sheldon
The Assassin and the Desert (Throne of Glass, #0.3)	Sarah J. Maas
The I Ching or Book of Changes	Anonymous
I Suck at Girls	Justin Halpern
Kissing Sin (Riley Jenson Guardian #2)	Keri Arthur
Captured (The Captive, #1)	Erica Stevens
War	Sebastian Junger
The New Best Recipe	Cook's Illustrated Magazine
The Complete Poetry and Prose	William Blake
An Illustrated Life: Drawing Inspiration from the Private Sketchbooks of Artists, Illustrators and Designers	Danny Gregory
Maximum Security (Cherub, #3)	Robert Muchamore
Hellboy, Vol. 2: Wake the Devil (Hellboy, #2)	Mike Mignola
Dark Symphony  (Dark, #10)	Christine Feehan
The Crow Road	Iain Banks
The Shadowhunter's Codex	Cassandra Clare
The Saving Graces	Patricia Gaffney
Amadeus	Peter Shaffer
One of Our Thursdays Is Missing (Thursday Next, #6)	Jasper Fforde
Masumiyet Müzesi	Orhan Pamuk
The Museum of Innocence	Orhan Pamuk
Burn for Me (Hidden Legacy, #1)	Ilona Andrews
Why I Am Not a Christian and Other Essays on Religion and Related Subjects	Bertrand Russell
The Abolition of Man	C.S. Lewis
Forever Amber	Kathleen Winsor
Bonds of Justice (Psy-Changeling, #8)	Nalini Singh
Tar Baby	Toni Morrison
Overruled (The Legal Briefs, #1)	Emma Chase
How to Save a Life	Sara Zarr
Wild Cards (Wild Cards, #1)	Simone Elkeles
Love's Executioner and Other Tales of Psychotherapy	Irvin D. Yalom
The Traitor (Divergent, #0.4)	Veronica Roth
Ricochet	Sandra Brown
Sweetheart (Archie Sheridan & Gretchen Lowell, #2)	Chelsea Cain
Tourist Season	Carl Hiaasen
Hidden Away (KGI, #3)	Maya Banks
The Longest Day	Cornelius Ryan
Heaven (Halo, #3)	Alexandra Adornetto
The Gift (Crown's Spies, #3)	Julie Garwood
Goldfinger (James Bond, #7)	Ian Fleming
Darkest Powers Trilogy (Darkest Powers, #1-3)	Kelley Armstrong
The Dhammapada	Anonymous
Nerilka's Story (Pern, #8)	Anne McCaffrey
Suicide Notes	Michael Thomas Ford
The Fallen and Leviathan (The Fallen, #1-2)	Thomas E. Sniegoski
The Baker's Daughter	Sarah McCoy
The Pursuit of Holiness	Jerry Bridges
The Dolphins of Pern (Pern, #13)	Anne McCaffrey
The Miracle of Forgiveness	Spencer W. Kimball
A Sick Day for Amos McGee	Philip C. Stead
If I Should Die (Revenants, #3)	Amy Plum
Last Chance to See	Douglas Adams
Bonjour tristesse	Françoise Sagan
A Dance with Dragons: After the Feast (A Song of Ice and Fire #5, Part 2 of 2)	George R.R. Martin
Een dans met draken: Zwaarden tegen draken (Het Lied van IJs en Vuur #5, deel 2 van 2)	George R.R. Martin
Be Careful What You Wish For (The Clifton Chronicles, #4)	Jeffrey Archer
Dream Dark (Caster Chronicles, #2.5)	Kami Garcia
The Last Dragonslayer (The Chronicles of Kazam, #1)	Jasper Fforde
Robin Hood, The Prince of Thieves	Alexandre Dumas
Secrets of a Charmed Life	Susan Meissner
They Do It with Mirrors (Miss Marple, #6)	Agatha Christie
Runaway	Alice Munro
Jesus Land	Julia Scheeres
Cooper (Corps Security, #4)	Harper Sloan
What Was She Thinking? [Notes on a Scandal]	Zoë Heller
Pedagogy of the Oppressed	Paulo Freire
Turtle in Paradise	Jennifer L. Holm
Quintessentially Q (Monsters in the Dark, #2)	Pepper Winters
Once a Witch (Witch, #1)	Carolyn MacCullough
The Golden Notebook	Doris Lessing
Firestar's Quest (Warriors Super Edition #1)	Erin Hunter
Battleaxe (The Axis Trilogy, #1)	Sara Douglass
The Wayfarer Redemption (Wayfarer Redemption, #1)	Sara Douglass
Lady of Avalon (Avalon, #3)	Marion Zimmer Bradley
Special A, Vol. 1 (Special A, #1)	Maki Minami
Oh. My. Gods. (Oh. My. Gods., #1)	Tera Lynn Childs
Lucia, Lucia	Adriana Trigiani
Kushiel's Mercy (Imriel's Trilogy, #3)	Jacqueline Carey
Heart of Obsidian  (Psy-Changeling, #12)	Nalini Singh
Avatar: The Last Airbender: The Lost Adventures	Bryan Konietzko
The Son (Divergent, #0.3)	Veronica Roth
Savannah Blues (Weezie and Bebe Mysteries, #1)	Mary Kay Andrews
Civil Disobedience and Other Essays	Henry David Thoreau
MeruPuri, Vol. 1 (MeruPuri, #1)	Matsuri Hino
Tempting Evil (Riley Jenson Guardian #3)	Keri Arthur
Rapunzel	Paul O. Zelinsky
Light a Penny Candle	Maeve Binchy
Jasper Jones	Craig Silvey
Annabel (Delirium, #0.5)	Lauren Oliver
Tamed (Tangled, #3)	Emma Chase
Waylander (The Drenai Saga, #3)	David Gemmell
The Flanders Panel	Arturo Pérez-Reverte
Chill Factor	Sandra Brown
Ten Things I Love About You (Bevelstoke, #3)	Julia Quinn
Prophecy of the Sisters (Prophecy of the Sisters, #1)	Michelle Zink
Enchanted (Books of Arilland #1)	Alethea Kontis
The Girl Next Door	Jack Ketchum
What Got You Here Won't Get You There: How Successful People Become Even More Successful	Marshall Goldsmith
Paradise Kiss deluxe, Volume 1	Ai Yazawa
Darkness Becomes Her (Gods & Monsters, #1)	Kelly Keaton
Love Only Once (Malory-Anderson Family, #1)	Johanna Lindsey
The Informers	Bret Easton Ellis
Trojan Odyssey (Dirk Pitt, #17)	Clive Cussler
No Talking	Andrew Clements
Priestess of Avalon (Avalon, #4)	Marion Zimmer Bradley
The Passion	Jeanette Winterson
The Evolutionary Void	Peter F. Hamilton
1Q84 BOOK 3 (1Q84, #3)	Haruki Murakami
1Q84 Livro 3	Haruki Murakami
When It Rains (Rains, #1)	Lisa De Jong
To Green Angel Tower, Part 1 (Memory, Sorrow, and Thorn, #3; Part 1)	Tad Williams
The Naturals (The Naturals, #1)	Jennifer Lynn Barnes
The Mask	Owen  West
Imperium: A Novel of Ancient Rome (Cicero, #1)	Robert   Harris
Rumble Fish	S.E. Hinton
The Castle of Otranto	Horace Walpole
Being and Time	Martin Heidegger
Because I'm Worth It (Gossip Girl, #4)	Cecily von Ziegesar
Class A (Cherub, #2)	Robert Muchamore
The Winter Rose (The Tea Rose, #2)	Jennifer Donnelly
Six's Legacy (Lorien Legacies: The Lost Files, #1)	Pittacus Lore
Castle Hill (On Dublin Street, #3.5)	Samantha Young
Leaving (Bailey Flanigan, #1)	Karen Kingsbury
The Naked Face	Sidney Sheldon
The Temporal Void	Peter F. Hamilton
Men of the Otherworld (Otherworld Stories #I)	Kelley Armstrong
The Passion of Artemisia	Susan Vreeland
Crush It!: Why Now Is the Time to Cash In on Your Passion	Gary Vaynerchuk
Flyboys: A True Story of Courage	James D. Bradley
Branded (Fall of Angels, #1)	Keary Taylor
Saving Faith	David Baldacci
Colters' Woman (Colters' Legacy, #1)	Maya Banks
The Skull Throne (The Demon Cycle, #4)	Peter V. Brett
House Rules (Chicagoland Vampires, #7)	Chloe Neill
The Rogue Hunter (Argeneau #10; Rogue Hunter #1)	Lynsay Sands
Hidden Riches	Nora Roberts
The Walking Dead, Vol. 09: Here We Remain	Robert Kirkman
Nana (Les Rougon-Macquart, #9)	Émile Zola
The Past Through Tomorrow (Future History, #1-21)	Robert A. Heinlein
The Legend of Huma (Dragonlance: Heroes, #1)	Richard A. Knaak
Boy Meets Girl: Say Hello to Courtship	Joshua Harris
The Uglies Trilogy (Uglies, #1-3)	Scott Westerfeld
Identity	Milan Kundera
Seven Sons (Gypsy Brothers, #1)	Lili St. Germain
Slade (New Species, #2)	Laurann Dohner
In the Night Kitchen	Maurice Sendak
Crash	J.G. Ballard
The Broom of the System	David Foster Wallace
Das unerhörte Leben des Alex Woods oder warum das Universum keinen Plan hat	Gavin Extence
The Universe Versus Alex Woods	Gavin Extence
Death Note, Vol. 8: Target (Death Note, #8)	Tsugumi Ohba
Sheep in a Jeep	Nancy E. Shaw
Revenge of the Wannabes (The Clique, #3)	Lisi Harrison
Genius: The Life and Science of Richard Feynman	James Gleick
Fear of Flying	Erica Jong
Unveiled: Tamar (Lineage of Grace #1)	Francine Rivers
The Tiger Rising	Kate DiCamillo
Carry on, Jeeves (Jeeves, #3)	P.G. Wodehouse
Chesapeake	James A. Michener
Lyra's Oxford (His Dark Materials, #3.5)	Philip Pullman
Dali: The Paintings	Robert Descharnes
All My Sons	Arthur Miller
Fruits Basket, Vol. 5	Natsuki Takaya
The Unwanteds (Unwanteds, #1)	Lisa McMann
Blink	Ted Dekker
Little Lord Fauntleroy	Frances Hodgson Burnett
Meant to Be	Lauren Morrill
The Algebraist	Iain M. Banks
Savage Inequalities: Children in America's Schools	Jonathan Kozol
The Misanthrope	Molière
The Enchantress Of Florence	Salman Rushdie
Mister Pip	Lloyd Jones
Joseph Had a Little Overcoat	Simms Taback
The Prisoner of Zenda	Anthony Hope
Death Note, Vol. 6: Give-and-Take (Death Note, #6)	Tsugumi Ohba
Tangle of Need (Psy-Changeling, #11)	Nalini Singh
Summer of my German Soldier	Bette Green
Summer of My German Soldier (Summer of My German Soldier, #1)	Bette Greene
Breathe (Breathe, #1)	Sarah Crossan
Dech (Dech, #1)	Sarah Crossan
Consumed (Consumed, #1)	Skyla Madi
The Wimpy Kid Movie Diary	Jeff Kinney
The Water is Wide: A Memoir	Pat Conroy
Such a Rush	Jennifer Echols
I Heard That Song Before	Mary Higgins Clark
Self-Reliance and Other Essays	Ralph Waldo Emerson
Sons of Fortune	Jeffrey Archer
Deep Wizardry (Young Wizards, #2)	Diane Duane
Shelter Mountain (Virgin River, #2)	Robyn Carr
En la vida real	Cory Doctorow
In Real Life	Cory Doctorow
Les Secrets d'Aramanth (Le Vent de feu, #1)	William Nicholson
Day by Day Armageddon (Day by Day Armageddon,#1)	J.L. Bourne
The Inkheart Trilogy: Inkheart, Inkspell, Inkdeath (Inkworld, #1-3)	Cornelia Funke
The Frog and Toad Treasury: Frog and Toad are Friends/Frog and Toad Together/Frog and Toad All Year  (Frog and Toad #1-3)	Arnold Lobel
White Fire (Pendergast, #13)	Douglas Preston
Private Peaceful	Michael Morpurgo
Graduation Day (The Testing, #3)	Joelle Charbonneau
Mars, Volume 01 (Mars, #1)	Fuyumi Soryo
Twilight Watch (Watch, #3)	Sergei Lukyanenko
The Keep (Adversary Cycle, #1)	F. Paul Wilson
Darkness Visible: A Memoir of Madness	William Styron
Fire Star (The Last Dragon Chronicles, #3)	Chris d'Lacey
The Mystery at Lilac Inn (Nancy Drew, #4)	Carolyn Keene
Don't Die, My Love	Lurlene McDaniel
Smart, Sexy and Secretive (The Reed Brothers, #2)	Tammy Falkner
The Miseducation of Cameron Post	Emily M. Danforth
The Yacoubian Building	Alaa Al Aswany
Second Treatise of Government	John Locke
The Moral Landscape: How Science Can Determine Human Values	Sam Harris
Shadow Game (GhostWalkers, #1)	Christine Feehan
Archangel's Legion (Guild Hunter, #6)	Nalini Singh
A Perfect Evil (Maggie O'Dell, #1)	Alex Kava
Wife by Wednesday (The Weekday Brides, #1)	Catherine Bybee
Cracked Up to Be	Courtney Summers
The Suspicions of Mr. Whicher: A Shocking Murder and the Undoing of a Great Victorian Detective	Kate Summerscale
Exit to Eden	Anne Rice
Sisters	Danielle Steel
Starter for Ten	David Nicholls
The Christmas Wedding	James Patterson
Black Cat: The Man Called Black Cat, Vol. 01 (Black Cat, #1)	Kentaro Yabuki
The Crown Tower (The Riyria Chronicles, #1)	Michael J. Sullivan
The Imitation of Christ	Thomas à Kempis
A Conspiracy of Faith (Department Q, #3)	Jussi Adler-Olsen
Flaskepost fra P (Afdeling Q, #3)	Jussi Adler-Olsen
Stunning (Pretty Little Liars, #11)	Sara Shepard
A Lista dos Desejos	Eoin Colfer
The Wish List	Eoin Colfer
My Unexpected Forever (The Beaumont Series, #2)	Heidi McLaughlin
The Underworld (Fallen Star, #2)	Jessica Sorensen
Like the Flowing River	Paulo Coelho
The Boys Next Door (The Boys Next Door, #1)	Jennifer Echols
The Haunted Mask (Goosebumps, #11)	R.L. Stine
Finally (Willow Falls, #2)	Wendy Mass
The Lonely Polygamist	Brady Udall
Love and War (North and South, #2)	John Jakes
The Walking Dead, Vol. 10: What We Become	Robert Kirkman
What Happens in London (Bevelstoke, #2)	Julia Quinn
The Catastrophic History of You and Me	Jess Rothenberg
Devil's Bride (Cynster, #1)	Stephanie Laurens
The Palace of Illusions	Chitra Banerjee Divakaruni
Fire Burn and Cauldron Bubble (Jolie Wilkins, #1)	H.P. Mallory
Where Are You Now?	Mary Higgins Clark
Sophie & Carter	Chelsea Fine
When Calls the Heart (Canadian West, #1)	Janette Oke
The Mortal Instrument (The Mortal Instruments #1-4)	Cassandra Clare
A House for Mr Biswas	V.S. Naipaul
Double Identity	Margaret Peterson Haddix
Ruining Me (Ruining, #1)	Nicole Reed
Raze (Scarred Souls, #1)	Tillie Cole
The Effective Executive: The Definitive Guide to Getting the Right Things Done	Peter F. Drucker
Divergent Series Box Set (Divergent, #1 - 2)	Veronica Roth
The Divergent Series 2-Book Collection (Divergent, #1-2)	Veronica Roth
Carrion Comfort	Dan Simmons
Tales from a Not-So-Smart Miss Know-It-All (Dork Diaries, #5)	Rachel Renée Russell
Sent (The Missing, #2)	Margaret Peterson Haddix
Moonlight Becomes You	Mary Higgins Clark
Dark Melody (Dark, #12)	Christine Feehan
The Red Garden	Alice Hoffman
The Wall	Jean-Paul Sartre
Torn from You (Tear Asunder, #1)	Nashoda Rose
Beauty from Love (Beauty, #3)	Georgia Cates
The Law of Moses (The Law of Moses, #1)	Amy Harmon
Vampire Knight, Vol. 4 (Vampire Knight, #4)	Matsuri Hino
The Code Book: The Science of Secrecy from Ancient Egypt to Quantum Cryptography	Simon Singh
The Heart of Betrayal (The Remnant Chronicles, #2)	Mary E. Pearson
The Law of Attraction: The Basics of the Teachings of Abraham	Esther Hicks
The Rising: Antichrist is Born  (Before They Were Left Behind, #1)	Tim LaHaye
Passion and Purity: Learning to Bring Your Love Life Under Christ's Control	Elisabeth Elliot
Invasion of the Boy Snatchers (The Clique, #4)	Lisi Harrison
La ragazza delle arance	Jostein Gaarder
The Orange Girl	Jostein Gaarder
Porno	Irvine Welsh
The Rowan (The Tower and the Hive, #1)	Anne McCaffrey
Good Wives (Little Women, #1.5)	Louisa May Alcott
همسران خوب/Good Wives	Louisa May Alcott
The Finding (Law of the Lycans, #5)	Nicky Charles
Vampire Academy: The Graphic Novel (Vampire Academy: The Graphic Novel, #1)	Richelle Mead
Lullabies for Little Criminals	Heather O'Neill
The Raven Prince (Princes Trilogy, #1)	Elizabeth Hoyt
Spark (Elemental, #2)	Brigid Kemmerer
Fighting to Forgive (Fighting, #2)	J.B. Salsbury
The Twelve Chairs	Ilya Ilf
The Walking Dead, Vol. 11: Fear the Hunters	Robert Kirkman
Hyperspace	Michio Kaku
The 8th Habit: From Effectiveness to Greatness	Stephen R. Covey
I, Michael Bennett (Michael Bennett, #5)	James Patterson
The Marvelous Land of Oz (Books of Wonder) (Oz, #2)	L. Frank Baum
The Marvelous Land of Oz (Oz, #2)	L. Frank Baum
Ball Four	Jim Bouton
Chibi Vampire, Vol. 01	Yuna Kagesaki
Welcome to the Jungle (The Dresden Files, #0.5)	Jim Butcher
Night Over Water	Ken Follett
Girls of Riyadh	Rajaa Alsanea
The Emperor's Tomb (Cotton Malone, #6)	Steve Berry
Sellevision	Augusten Burroughs
Saint Maybe	Anne Tyler
The Morganville Vampires, Volume 3 (The Morganville Vampires, #5-6)	Rachel Caine
Perahu Kertas	Dee Lestari
Preacher, Volume 8: All Hell's a-Coming	Garth Ennis
Where They Found Her	Kimberly McCreight
Filthy Beautiful Lies (Filthy Beautiful Lies, #1)	Kendall Ryan
Lady Audley's Secret	Mary Elizabeth Braddon
The Little Old Lady Who Was Not Afraid of Anything	Linda Williams
Alvin Journeyman (Tales of Alvin Maker, #4)	Orson Scott Card
Locke (Corps Security, #5)	Harper Sloan
Mortal Heart (His Fair Assassin, #3)	Robin LaFevers
Marlfox (Redwall, #11)	Brian Jacques
Atrás do Espelho (O lado mais sombrio, #2)	A.G. Howard
Unhinged (Splintered, #2)	A.G. Howard
Elven Star (The Death Gate Cycle, #2)	Margaret Weis
Broken Hart (The Hart Family, #1)	Ella Fox
The Man From St. Petersburg	Ken Follett
A Death in Vienna (Gabriel Allon, #4)	Daniel Silva
Undead and Unworthy (Undead, #7)	MaryJanice Davidson
The Lost Years (The Lost Years of Merlin, #1)	T.A. Barron
The Dot	Peter H. Reynolds
The Collected Poems	Langston Hughes
Deep Six (Dirk Pitt, #7)	Clive Cussler
The Wolves of Willoughby Chase (The Wolves Chronicles, #1)	Joan Aiken
The Night Strangers	Chris Bohjalian
Lethal Rider (Lords of Deliverance, #3; Demonica, #8)	Larissa Ione
Chasm City	Alastair Reynolds
Sacajawea	Anna Lee Waldo
Washington Square	Henry James
Bloodline (Sigma Force, #8)	James Rollins
Winds of Fate (Valdemar: Mage Winds #1)	Mercedes Lackey
Death Note, Vol. 7: Zero (Death Note, #7)	Tsugumi Ohba
This Star Won't Go Out: The Life and Words of Esther Grace Earl	Esther Earl
Excalibur (The Warlord Chronicles, #3)	Bernard Cornwell
Wench	Dolen Perkins-Valdez
Specter of the Past (Star Wars: The Hand of Thrawn, #1)	Timothy Zahn
Hollywood	Charles Bukowski
Thankless in Death (In Death, #37)	J.D. Robb
Evil Star (The Gatekeepers, #2)	Anthony Horowitz
Anew (The Archers of Avalon, #1)	Chelsea Fine
Spying in High Heels (High Heels, #1)	Gemma Halliday
Touch (Denazen, #1)	Jus Accardo
The Drunkard's Walk: How Randomness Rules Our Lives	Leonard Mlodinow
Vampire Knight, Vol. 2 (Vampire Knight, #2)	Matsuri Hino
Dust of Dreams (The Malazan Book of the Fallen, #9)	Steven Erikson
Born Wicked (The Cahill Witch Chronicles, #1)	Jessica Spotswood
Night World: The Ultimate Fan Guide	Annette Pollert
Standing for Something: 10 Neglected Virtues That Will Heal Our Hearts and Homes	Gordon B. Hinckley
Nights of Rain and Stars	Maeve Binchy
Into the Dreaming (Highlander, #8)	Karen Marie Moning
The Language Instinct: How the Mind Creates Language	Steven Pinker
One Breath Away	Heather Gudenkauf
The Siren	Kiera Cass
Big Nate Strikes Again (Big Nate Novels, #2)	Lincoln Peirce
Radiance (Riley Bloom, #1)	Alyson Noel
Shaman King, Vol. 1: A Shaman in Tokyo	Hiroyuki Takei
The Sicilian	Mario Puzo
Elite (Eagle Elite, #1)	Rachel Van Dyken
Audrey	Robin Benway
Audrey, Wait!	Robin Benway
From Here to Eternity	James Jones
Split Infinity  (Apprentice Adept #1)	Piers Anthony
Baptism of Fire (The Witcher #5)	Andrzej Sapkowski
Chrzest ognia (Saga o Wiedźminie, #5)	Andrzej Sapkowski
Mrs. Mike (Mrs. Mike, #1)	Benedict Freedman
The Christmas Sweater	Glenn Beck
Georgiana: Duchess of Devonshire	Amanda Foreman
Incendiary (The Premonition, #4)	Amy A. Bartol
Vampire Knight, Vol. 9 (Vampire Knight, #9)	Matsuri Hino
InterWorld (InterWorld, #1)	Neil Gaiman
What My Mother Doesn't Know (What My Mother Doesn't Know #1)	Sonya Sones
Relentless	Dean Koontz
Love★Com, Vol. 1	Aya Nakahara
Shakespeare's Champion (Lily Bard, #2)	Charlaine Harris
Sullivan's Island (Lowcountry Tales, #1)	Dorothea Benton Frank
The Fever	Megan Abbott
Hero	Perry Moore
The Snowman	Raymond Briggs
The Clocks (Hercule Poirot, #34)	Agatha Christie
The Good Luck of Right Now	Matthew Quick
Follow the River	James Alexander Thom
The Power of Art	Simon Schama
I'm OK - You're OK	Thomas A. Harris
Double Indemnity	James M. Cain
Prisoner of My Desire	Johanna Lindsey
Brain Droppings	George Carlin
Blindfolded Innocence (Innocence, #1)	Alessandra Torre
Let's Pretend This Never Happened (Dear Dumb Diary #1)	Jim Benton
The Faerie Queene	Edmund Spenser
The Forever Song (Blood of Eden, #3)	Julie Kagawa
Rebel Spring (Falling Kingdoms, #2)	Morgan Rhodes
Such a Pretty Girl	Laura Wiess
Collected Poems	Dylan Thomas
The Dip: A Little Book That Teaches You When to Quit	Seth Godin
Dark Celebration (Dark, #17)	Christine Feehan
Sleep Tight (DCI Tom Douglas #3)	Rachel Abbott
Tokyo Mew Mew, Vol. 1 (Tokyo Mew Mew, #1)	Mia Ikumi
Talon of the Silver Hawk (Conclave of Shadows, #1)	Raymond E. Feist
Amulet, Vol. 3: The Cloud Searchers (Amulet, #3)	Kazu Kibuishi
With Everything I Am (The Three, #2)	Kristen Ashley
Take Me (Stark Trilogy, #3.5)	J. Kenner
Six Days of the Condor	James Grady
The Mediterranean Caper (Dirk Pitt, #1)	Clive Cussler
The Ambassador's Mission (Traitor Spy Trilogy, #1)	Trudi Canavan
The Shadow Throne (The Ascendance Trilogy, #3)	Jennifer A. Nielsen
Gameboard of the Gods (Age of X, #1)	Richelle Mead
A Beautiful Lie (Playing with Fire, #1)	T.E. Sivec
Thoughtful	S.C. Stephens
Thoughtful (Thoughtless, #1.5)	S.C. Stephens
The Assassin and the Underworld (Throne of Glass, #0.4)	Sarah J. Maas
Hitch-22: A Memoir	Christopher Hitchens
The Belgariad, Vol. 1: Pawn of Prophecy / Queen of Sorcery / Magician's Gambit (The Belgariad, #1-3)	David Eddings
Hunting Lila (Lila, #1)	Sarah Alderson
Vampire Knight, Vol. 3 (Vampire Knight, #3)	Matsuri Hino
Fiddler on the Roof	Joseph Stein
Bender (The Core Four, #1)	Stacy Borel
Cloudstreet	Tim Winton
Star Island (Skink, #6)	Carl Hiaasen
Sang Pemimpi (Tetralogi Laskar Pelangi, #2)	Andrea Hirata
Awaken (Awaken, #1)	Katie Kacvinsky
What's Left of Me (The Hybrid Chronicles, #1)	Kat Zhang
Time Untime (Dark-Hunter #21; Hellchaser, #4; Were-Hunter, #7)	Sherrilyn Kenyon
The Love Verb	Jane Green
The Darkness That Comes Before (The Prince of Nothing, #1)	R. Scott Bakker
The Face of Fear	Brian Coffey
Can't Wait to Get to Heaven (Elmwood Springs, #3)	Fannie Flagg
Wizard at Large (Magic Kingdom of Landover #3)	Terry Brooks
Wizard at Large (Magic Kingdom of Landover, #3)	Terry Brooks
Scat	Carl Hiaasen
Sex at Dawn: The Prehistoric Origins of Modern Sexuality	Christopher  Ryan
Something, Maybe	Elizabeth Scott
Fables, Vol. 10: The Good Prince	Bill Willingham
How the Mind Works	Steven Pinker
Armor	John Steakley
Napalm & Silly Putty	George Carlin
The Monstrumologist (The Monstrumologist, #1)	Rick Yancey
Tempt Me (One Night with Sole Regret, #2)	Olivia Cunning
Under the Skin	Michel Faber
The Chosen One	Carol Lynch Williams
Shattered Promises (Shattered Promises, #1)	Jessica Sorensen
Ms. Marvel, Vol. 2: Generation Why	G. Willow Wilson
The Memory of Earth (Homecoming, #1)	Orson Scott Card
Phenomenal X (Hard Knocks, #1)	Michelle A. Valentine
El Capote (ILUSTRADOS)	Nikolai Gogol
The Overcoat	Nikolai Gogol
المعطف	Nikolai Gogol
Drift: The Unmooring of American Military Power	Rachel Maddow
Che Guevara: A Revolutionary Life	Jon Lee Anderson
Storm of the Century: An Original Screenplay	Stephen King
Story of O	Pauline Réage
Deep Fathom	James Rollins
Pride Mates (Shifters Unbound, #1)	Jennifer Ashley
Stone Butch Blues	Leslie Feinberg
Alien	Alan Dean Foster
Assumption (Underground Kings, #1)	Aurora Rose Reynolds
Texas	James A. Michener
House of Suns	Alastair Reynolds
How to Kill a Rock Star	Tiffanie DeBartolo
Dragon Prince (Dragon Prince, #1)	Melanie Rawn
Sad Cypress (Hercule Poirot, #21)	Agatha Christie
The Enchantress Returns (The Land of Stories, #2)	Chris Colfer
Beg (Songs of Submission, #1)	C.D. Reiss
Shock Wave (Dirk Pitt, #13)	Clive Cussler
Believing Christ: The Parable of the Bicycle and Other Good News	Stephen E. Robinson
The Assassin and the Empire (Throne of Glass, #0.5)	Sarah J. Maas
Five Dialogues: Euthyphro, Apology, Crito, Meno, Phaedo	Plato
Out of the Dark (The Grey Wolves, #4)	Quinn Loftis
Darkness, Be My Friend (Tomorrow, #4)	John Marsden
Defy (Defy, #1)	Sara B. Larson
The Madonnas of Leningrad	Debra Dean
Rise of the Elgen (Michael Vey, #2)	Richard Paul Evans
Manhunting	Jennifer Crusie
Common Sense, The Rights of Man and Other Essential Writings	Thomas Paine
Morning, Noon & Night	Sidney Sheldon
The Innovators: How a Group of  Hackers, Geniuses and Geeks Created the Digital Revolution	Walter Isaacson
The Line (Witching Savannah, #1)	J.D. Horn
Alpha & Omega (Alpha & Omega, #0.5)	Patricia Briggs
Revolting Rhymes	Roald Dahl
The Sleeping Doll (Kathryn Dance, #1)	Jeffery Deaver
The Haunted (The Hollow, #2)	Jessica Verday
As Chimney Sweepers Come to Dust (Flavia de Luce, #7)	Alan Bradley
Moonraker (James Bond, #3)	Ian Fleming
Aftershock (Jax & Gia, #2)	Sylvia Day
Up Country	Nelson DeMille
The Moon Is Down	John Steinbeck
There's a Boy in the Girls' Bathroom	Louis Sachar
Midnight Crossroad (Midnight, Texas, #1)	Charlaine Harris
The Marriage Merger (Marriage to a Billionaire, #4)	Jennifer Probst
River's End	Nora Roberts
Charlie Bone and the Shadow (The Children of the Red King, #7)	Jenny Nimmo
Children of God (The Sparrow, #2)	Mary Doria Russell
The Flame and the Flower	Kathleen E. Woodiwiss
You Had Me At Hello	Mhairi McFarlane
Alpha (Shifters, #6)	Rachel Vincent
A Falsa Princesa	Eilis O'Neal
The False Princess	Eilis O'Neal
Totto-chan: The Little Girl at the Window	Tetsuko Kuroyanagi
Totto-Chan:The Little Girl at the Window	Tetsuko Kuroyanagi
Life Before Legend: Stories of the Criminal and the Prodigy (Legend, #0.5)	Marie Lu
The Raw Shark Texts	Steven Hall
The Elvenbane (Halfblood Chronicles, #1)	Andre Norton
The Love Affairs of Nathaniel P.	Adelle Waldman
Moon Palace	Paul Auster
Round Ireland with a Fridge	Tony Hawks
Tales from a Not-So-Graceful Ice Princess (Dork Diaries, #4)	Rachel Renée Russell
The Beauty Myth	Naomi Wolf
Morgawr (The Voyage of the Jerle Shannara, #3)	Terry Brooks
Seventh Grave and No Body (Charley Davidson, #7)	Darynda Jones
Love Irresistibly (FBI/US Attorney, #4)	Julie James
Ironweed	William Kennedy
Finding it - Alles ist leichter mit dir (Losing It, #3)	Cora Carmack
Luck in the Shadows (Nightrunner, #1)	Lynn Flewelling
Life Application Study Bible: NIV	Anonymous
Out to Canaan (Mitford Years, #4)	Jan Karon
Justice (New Species, #4)	Laurann Dohner
Taliesin (The Pendragon Cycle, #1)	Stephen R. Lawhead
Transmetropolitan, Vol. 2: Lust for Life (Transmetropolitan, #2)	Warren Ellis
The World of the Hunger Games	Kate Egan
The Chronicles of Pern: First Fall (Pern, #12)	Anne McCaffrey
Whispers in the Dark (KGI, #4)	Maya Banks
The Year of Fog	Michelle Richmond
Fruits Basket, Vol. 6	Natsuki Takaya
Blessings	Anna Quindlen
Absolute Fear (New Orleans, #4)	Lisa Jackson
Stenhuggaren (Patrik Hedström, #3)	Camilla Läckberg
The Realm of Possibility	David Levithan
Broken and Screwed (BS, #1)	Tijans Books
Curse of the Spellmans (The Spellmans, #2)	Lisa Lutz
One, Two, Buckle My Shoe (Hercule Poirot, #22)	Agatha Christie
Dark Fire (Matthew Shardlake, #2)	C.J. Sansom
The Tao of Physics: An Exploration of the Parallels between Modern Physics and Eastern Mysticism	Fritjof Capra
Vision in Silver (The Others, #3)	Anne Bishop
Fruits Basket, Vol. 14	Natsuki Takaya
Dark Secret (Dark, #15)	Christine Feehan
The Gate House	Nelson DeMille
Prince Lestat (The Vampire Chronicles #11)	Anne Rice
Prince Lestat (The Vampire Chronicles, #11)	Anne Rice
Sharpe's Tiger (Sharpe, #1)	Bernard Cornwell
Zodiac	Robert Graysmith
Lost	Gregory Maguire
Just One of the Guys	Kristan Higgins
The Iron Duke (Iron Seas, #1)	Meljean Brook
